500 2184
1 2 6807
2 3 -8874
3 4 -1055
4 5 4414
5 6 1728
6 7 -2237
7 8 -7507
8 9 7990
9 10 -5012
10 11 7353
11 12 -6736
12 13 -7604
13 14 5273
14 15 9331
15 16 -7753
16 17 -4370
17 18 267
18 19 903
19 20 7674
20 21 5436
21 22 9479
22 23 9432
23 24 4472
24 25 7258
25 26 8709
26 27 4358
27 28 -6775
28 29 68
29 30 -2849
30 31 -9951
31 32 -8643
32 33 -4010
33 34 -4667
34 35 -5829
35 36 -5222
36 37 -7609
37 38 3054
38 39 7935
39 40 173
40 41 9596
41 42 -4557
42 43 -4823
43 44 -6198
44 45 8450
45 46 5533
46 47 -6059
47 48 7411
48 49 9102
